NAME,MSTAR,A,PER,ECC,MASS,R
,msun,au,day,,mjupiter,rjupiter
Kepler-885 b,1.21,0.143843,18.11472949,0,0.01966,0.223
Kepler-53 d,,0.0893308,9.751962,,0.0157841,0.189134
Kepler-48 b,0.88,0.0532027,4.778,0,0.0123966,0.17133
Kepler-1614 b,0.79,0.045182,3.9466141,0,0.0115494,0.133
HD 192310 c,0.8,1.18358,525.8,0.32,0.0736073,
HD 1690 b,1.18,1.36191,533,0.64,6.52644,
HAT-P-41 b,1.418,0.0425775,2.694047,0,0.800254,1.685
Kepler-1493 b,1.06,0.121485,15.0217983,0,0.00965491,0.126
Kepler-42 c,0.13,0.00585017,0.45328509,,0.000954523,0.0650682
Kepler-1492 b,0.77,0.117442,16.75255007,0,0.0115494,0.133
HD 28185 b,0.99,1.02341,379,0.05,5.79721,
HIP 97233 b,1.93,2.5395,1058.8,0.61,19.8471,
Kepler-1461 b,0.79,0.17214,29.3494775,0,0.0150076,0.181
Kepler-846 b,0.94,0.140349,19.80792185,0,0.019398,0.221
HD 23127 b,1.127,2.31864,1214,0.44,1.40487,
HD 154672 b,1.06,0.598618,163.94,0.61,5.00638,
Kepler-275 d,,0.212092,35.676062,,0.0333072,0.297083
Kepler-52 b,0.54,0.0630945,7.8773565,,0.015593,0.187182
Kepler-1561 b,1.07,0.0200865,1.00520701,0,0.00392895,0.097
OGLE-TR-10 b,1.14,0.0434856,3.10129,0,0.62,1.25
Kepler-370 b,,0.0539702,4.57953,,0.011856,0.14185
Kepler-601 b,0.85,0.0569124,5.37886844,0,0.014034,0.17
gamma Leo A b,1.57,1.29554,428.5,0.144,10.3722,
NN Ser c,,6.15467,5571,0.22,2.24099,
Kepler-1179 b,0.84,0.0356726,2.68505749,0,0.00774372,0.118
Kepler-930 b,1.25,0.36301,71.4517775,0,0.0158698,0.19
Kepler-1073 b,1,0.0826512,8.67888593,0,0.0174594,0.205
HAT-P-2 b,1.308,0.0679088,5.6334729,0.5171,8.87065,1.157
HAT-P-24 b,1.191,0.0465021,3.35524,0.067,0.685857,1.242
HD 11506 b,1.19,2.60488,1405,0.3,4.7347,
Kepler-758 c,1.16,0.0581708,4.75793986,0,0.0125233,0.151
tau Boo b,1.341,0.0480039,3.312433,0.023,5.95,
Kepler-422 b,1.15,0.0812822,7.8914483,0.016,1,1.15
Kepler-124 c,,0.112713,13.821375,,0.0129124,0.156125
Kepler-1081 b,0.88,0.0461241,3.85691855,0,0.0030088,0.09
Kepler-1539 b,0.84,0.481868,133.3036741,0,0.0222358,0.241
Kepler-1458 b,0.96,0.254946,47.9872764,0,0.0230257,0.246
Kepler-184 c,,0.145651,20.303005,,0.0145328,0.175752
XO-2S c,0.982,0.47557,120.8,0.1528,1.371,
HD 34445 b,1.069,2.06642,1049,0.27,0.790506,
Kepler-318 b,,0.0546218,4.662715,,0.0733215,0.420198
OGLE-2007-BLG-368L b,0.64,,,,0.0629,
KELT-7 b,1.535,0.0441609,2.7347749,0,1.28,1.533
Kepler-1321 c,0.54,0.0271739,2.22649109,0,0.0185165,0.214
